KODE_KAB,PCT_BERAT,nama_kabkota,lat,long
5371,15,,-10.1833333,123.5833333
5311,2,,-9.9802103,120.3435506
5302,2,,-9.7762816,124.4198243
5312,1,,-9.6548326,119.3947135
5303,1,,-9.4522647,124.597132
5309,7,,-8.7430424,120.9876321
5202,39,,-8.694623,116.2777073
5310,3,,-8.6796987,120.3896651
5315,1,,-8.6688149,120.0665236
5171,213,,-8.65629,115.222099
5204,14,,-8.6529334,117.3616476
5201,14,,-8.6464599,116.1123078
5271,25,,-8.5833333,116.1166667
5103,62,,-8.5819296,115.1770586
5102,31,,-8.544516,115.119797
5104,70,,-8.544185,115.3255
5105,18,,-8.5389222,115.4045111
5203,67,,-8.5134471,116.5609857
5205,2,,-8.4966318,118.4747173
5313,2,,-8.4719075,123.4831906
5206,2,,-8.460566,118.727402
5272,10,,-8.460566,118.727402
5106,17,,-8.454303,115.354897
5208,1,,-8.3739076,116.2777073
5101,27,,-8.361852,114.6418
5306,1,,-8.3130942,122.9663018
5305,1,,-8.2754027,124.7298765
1501,4,,-8.2186111,114.3669444
1505,36,,-8.204614,111.08769
1204,11,,-8.1712591,113.7111274
5108,14,,-8.113831,115.126999
3403,22,,-8.0305091,110.6168921
1509,16,,-7.917704,113.813483
3402,109,,-7.8846111,110.3341111
1503,11,,-7.867827,111.466003
3401,15,,-7.8266798,110.1640846
3312,16,,-7.817782,110.920601
1508,6,,-7.809356,112.032356
3471,84,,-7.797224,110.368797
3301,25,,-7.733333,109
3404,119,,-7.716165,110.335403
3310,291,,-7.711687,110.595497
3306,14,,-7.709731,110.008003
3311,153,,-7.6808818,110.8195292
3305,203,,-7.678682,109.656502
1504,12,,-7.6493413,111.3381593
1502,7,,-7.627753,111.505483
3313,149,,-7.5961111,110.9508333
3372,147,,-7.5666667,110.8166667
8103,9,,-7.5322642,131.3611121
3309,100,,-7.523819,110.595901
3302,101,,-7.4832133,109.140438
3308,75,,-7.481253,110.213799
3371,26,,-7.481253,110.213799
3314,69,,-7.430229,111.021301
3304,21,,-7.402706,109.681396
3303,96,,-7.390747,109.3638
1506,2,,-7.38993,111.46193
3279,21,,-7.3666667,108.5333333
6303,13,,-7.3666667,108.5333333
3307,134,,-7.362109,109.899399
3207,84,,-7.3333333,108.35
3206,56,,-7.327954,108.214104
3278,66,,-7.327954,108.214104
3323,61,,-7.316669,110.174797
3373,38,,-7.302328,110.4729
3205,202,,-7.227906,107.908699
1507,18,,-7.0306912,112.7450068
3315,30,,-7.0217194,110.9625854
3208,39,,-6.9833333,108.4833333
3322,153,,-6.9666667,110.4166667
3374,466,,-6.9666667,110.4166667
3316,30,,-6.95,111.4166667
3202,251,,-6.92405,106.922203
3272,21,,-6.92405,106.922203
3324,63,,-6.919686,110.205597
3204,1119,,-6.9147444,107.6098111
3273,508,,-6.9147444,107.6098111
3325,88,,-6.8941111,109.7234519
3217,184,,-6.8937121,107.4321959
3321,95,,-6.888115,110.639297
3327,116,,-6.884234,109.377998
3329,102,,-6.8833333,109.05
3326,324,,-6.882887,109.669998
3375,180,,-6.882887,109.669998
3277,162,,-6.880239,107.5355
3328,95,,-6.8666667,109.1333333
3376,149,,-6.8666667,109.1333333
3210,430,,-6.8531026,108.2258897
3203,96,,-6.8172531,107.1307289
3319,186,,-6.804087,110.838203
3318,231,,-6.751338,111.038002
3209,349,,-6.715534,108.564003
3274,49,,-6.715534,108.564003
3317,63,,-6.71124,111.345299
6210,5,,-6.7052778,106.9913889
3201,738,,-6.6,106.8
3271,94,,-6.6,106.8
3213,35,,-6.569361,107.752403
3602,23,,-6.5643956,106.2522143
3320,266,,-6.5596059,110.6717
3214,180,,-6.5386806,107.4499404
5107,11,,-6.3996057,108.0503042
3276,102,,-6.39,106.83
3212,82,,-6.336315,108.325104
3174,394,,-6.332973,106.807915
6302,18,,-6.332973,106.807915
3215,566,,-6.3227303,107.3375791
3601,11,,-6.314835,106.103897
3674,142,,-6.2888889,106.7180556
3216,1148,,-6.2333333,107
3275,203,,-6.2333333,107
3171,57,,-6.211544,106.845172
3172,285,,-6.211544,106.845172
3173,94,,-6.211544,106.845172
3175,490,,-6.211544,106.845172
6201,18,,-6.1961131,106.8630174
6202,18,,-6.1952992,106.8630737
3603,752,,-6.1783056,106.6318889
3671,643,,-6.1783056,106.6318889
3604,184,,-6.12009,106.150299
3673,25,,-6.12009,106.150299
3672,79,,-6.0169825,106.040506
7304,2,,-5.554579,119.6730939
7303,4,,-5.5169316,120.0202964
1809,9,,-5.493245,105.0791228
7472,7,,-5.46667,122.633
1871,69,,-5.45,105.2666667
7302,7,,-5.4329368,120.2051096
7305,14,,-5.4162493,119.4875668
1810,6,,-5.3539884,104.9622498
7407,7,,-5.3264442,123.5951925
7306,21,,-5.3102888,119.742604
7404,4,,-5.3096355,122.9888319
1802,2,,-5.3027489,104.5655273
7307,3,,-5.2171961,120.112735
1804,37,,-5.1490396,104.1930918
7371,131,,-5.1333333,119.4166667
1872,6,,-5.1166667,105.3
1807,7,,-5.1134995,105.6881788
7309,30,,-4.94695,119.578903
7403,3,,-4.901629,122.6277455
1803,80,,-4.8133905,104.7520939
7310,1,,-4.805035,119.5571677
7410,3,,-4.7023424,123.0338767
1609,8,,-4.6681951,104.0072348
7406,2,,-4.6543462,121.9017954
1806,15,,-4.5256967,105.0791228
1808,9,,-4.4963689,104.5655273
7311,15,,-4.4172651,119.6730939
7312,7,,-4.3518541,119.9277947
1701,1,,-4.3248409,103.035694
1812,10,,-4.3176576,105.5005483
7405,13,,-4.2027915,122.4467238
9107,10,,-4.0836111,137.1847222
1705,4,,-4.0622929,102.5642261
7401,1,,-4.049665,121.593803
1672,3,,-4.03767,103.265297
1601,8,,-4.0283486,104.0072348
7313,40,,-4.022229,120.0665236
7372,1,,-4.0166667,119.6236111
1811,3,,-4.0044783,105.3131185
9102,2,,-4.0004481,138.7995122
7471,35,,-3.972201,122.5149028
7402,19,,-3.9380432,122.0837445
1608,1,,-3.8567934,104.7520939
1709,5,,-3.7955556,102.2591667
1771,10,,-3.7955556,102.2591667
7315,7,,-3.793071,119.6408
1604,8,,-3.7863889,103.5427778
7314,4,,-3.7738981,120.0202964
6301,18,,-3.7694047,114.8092691
8171,24,,-3.65607,128.166419
1603,14,,-3.651581,103.770798
1708,2,,-3.651431,102.578201
7316,1,,-3.563128,119.7612
9104,7,,-3.5095462,135.7520985
6372,30,,-3.4666667,114.75
1602,12,,-3.4559744,105.2194808
1702,4,,-3.4548154,102.6675575
6310,8,,-3.4512244,115.5681084
1674,10,,-3.440956,104.235397
1610,22,,-3.426544,104.6121475
1703,7,,-3.4219555,102.1632718
8105,11,,-3.4150761,130.390488
8104,3,,-3.3927754,126.7819505
7409,1,,-3.3803291,122.0837445
7604,7,,-3.3419323,119.1390642
6371,29,,-3.328499,114.589203
7317,2,,-3.3052214,120.2512728
1673,3,,-3.2966667,102.8616667
7408,5,,-3.1347227,121.1710389
8106,1,,-3.1271575,128.4008357
7318,4,,-3.0753003,119.742604
6304,15,,-3.0714738,114.6667939
7605,5,,-3.0297251,118.9062794
6207,5,,-3.0123467,112.4291464
7373,2,,-3,120.2
1671,66,,-2.9911083,104.7567333
6305,3,,-2.9160746,115.0465991
1902,29,,-2.8708938,107.9531836
1906,6,,-2.8708938,107.9531836
1605,14,,-2.8625305,102.989615
7326,6,,-2.8621942,119.8352303
6306,4,,-2.7662681,115.2363408
7602,18,,-2.7293364,118.9295737
6211,1,,-2.6849607,113.9536466
6208,16,,-2.6267517,111.2368084
6307,2,,-2.6153162,115.5207358
1607,30,,-2.6095639,104.7520939
1706,10,,-2.5760003,101.1169805
1606,9,,-2.5442029,103.7289167
9103,2,,-2.533,140.717
9171,12,,-2.533,140.717
6308,4,,-2.4421225,115.188916
7206,6,,-2.3003072,121.5370003
1901,26,,-2.2884782,106.0640179
1903,11,,-2.2884782,106.0640179
1904,9,,-2.2884782,106.0640179
1905,3,,-2.2884782,106.0640179
7322,1,,-2.2690446,119.9740534
6271,2,,-2.21,113.92
1971,33,,-2.129323,106.109596
7308,25,,-2.083333,120.216667
1572,2,,-2.06314,101.387199
6209,9,,-1.9269166,111.1891151
6204,6,,-1.875943,114.8092691
6309,5,,-1.864302,115.5681084
6104,22,,-1.859098,109.971901
9105,8,,-1.7469359,136.1709012
6401,16,,-1.7175266,115.9467997
7207,2,,-1.6408137,123.5504076
1571,44,,-1.596672,103.615799
7601,3,,-1.5264542,119.5107708
1309,3,,-1.426001,98.9245343
1311,12,,-1.4157329,101.2523792
7202,9,,-1.391922,120.766998
6409,6,,-1.2917094,116.5137964
6471,37,,-1.2635389,116.8278833
1310,4,,-1.1120568,101.6157773
7209,1,,-1.098757,121.5370003
9106,1,,-1.0381022,135.9800848
6206,4,,-0.9758379,112.8105512
6205,1,,-0.9587136,115.094045
1371,48,,-0.95,100.3530556
6111,2,,-0.9225877,110.0449662
7271,49,,-0.898583,119.850601
1302,4,,-0.803027,100.644402
1372,1,,-0.803027,100.644402
6106,8,,-0.7931004,113.9060624
1408,10,,-0.789275,113.921327
1402,20,,-0.7361181,102.2547919
6110,2,,-0.7000681,111.6660725
1303,3,,-0.6881586,100.997658
1373,2,,-0.6810286,100.7763604
1377,9,,-0.6264389,100.1179574
1305,12,,-0.5546757,100.2151578
6472,25,,-0.502183,117.153801
1304,3,,-0.4797043,100.5746224
1409,29,,-0.4411596,101.5248055
7203,1,,-0.4233155,119.8352303
6112,18,,-0.3533938,109.4735066
1375,3,,-0.3055556,100.3691667
1376,16,,-0.22887,100.632301
1306,18,,-0.2209392,100.1703257
2104,8,,-0.1627686,104.6354631
1404,21,,-0.1456733,102.989615
6212,7,,-0.1362171,114.3341432
6402,1,,-0.1336655,116.6081653
6203,4,,-0.0459972,110.1313251
6102,14,,-0.022523,109.330307
6171,49,,-0.022523,109.330307
6109,2,,0.015637,110.888603
6105,9,,0.080238,111.495499
6103,1,,0.119275,110.597298
1308,4,,0.1288752,99.7901781
6474,11,,0.1333333,117.5
1401,20,,0.146671,101.1617356
1312,14,,0.2213005,99.634135
6108,2,,0.4237287,109.7591675
1405,18,,0.441415,102.088699
1471,22,,0.5333333,101.45
7501,5,,0.5333333,123.0666667
7571,5,,0.5333333,123.0666667
7503,1,,0.5657885,123.3486147
7208,3,,0.5817607,120.8039474
3211,79,,0.6095949,110.0330554
7502,13,,0.7013419,122.2653887
7504,4,,0.7055278,121.7195459
1214,3,,0.7086091,97.8286368
7174,3,,0.7333333,124.3166667
1213,54,,0.7432372,99.3673084
8271,8,,0.7833333,127.3666667
6107,4,,0.8209729,109.477699
6172,10,,0.908795,108.984596
2172,26,,0.9179205,104.446464
1410,4,,0.9208765,102.6675575
7205,13,,0.9695452,121.3541631
1406,47,,1.0410934,100.439656
2171,399,,1.0456264,104.0304535
2102,27,,1.05,103.3666667
2101,20,,1.0619173,104.5189214
7105,6,,1.0946773,124.4641848
1221,8,,1.1186977,99.8124935
1224,2,,1.1255279,97.5247243
1278,1,,1.281964,97.61594
8201,1,,1.3121235,128.4849923
8203,1,,1.3121235,128.4849923
8204,1,,1.3121235,128.4849923
7173,4,,1.3234131,124.8384504
6101,3,,1.361328,109.309998
1277,3,,1.380424,99.273972
7172,45,,1.4553529,125.204697
1403,21,,1.4897222,102.0797222
7171,13,,1.4917014,124.842843
7106,12,,1.5327973,124.994751
1220,9,,1.5758644,99.634135
1203,2,,1.5774933,99.2785583
1407,26,,1.6463978,100.8000051
1273,35,,1.7403745,98.7827988
1222,20,,1.8799353,100.1703257
1202,6,,2.0405246,99.1013498
6403,17,,2.0450883,117.3616476
1223,25,,2.3465638,99.8124935
1212,321,,2.3502398,99.2785583
1102,4,,2.3589459,97.87216
1215,4,,2.545786,98.299838
1109,2,,2.583333,96.083333
1175,3,,2.6449927,98.0165205
1209,45,,2.8174722,99.634135
1211,3,,2.8675801,98.265058
6404,17,,2.9042476,116.9852422
1272,14,,2.96,99.06
1274,13,,2.965122,99.800331
1208,92,,2.9781612,99.2785583
1206,12,,3.1052909,98.265058
1307,5,,3.168216,99.4187929
1219,20,,3.1740979,99.5006143
6473,1,,3.3,117.6333333
1218,47,,3.3371694,99.0571089
1276,14,,3.3856205,99.2009815
1207,20,,3.4201802,98.704075
1271,1,,3.585242,98.6755979
1275,171,,3.594462,98.482246
1205,1,,3.8653916,98.3088441
2103,1,,3.9329945,108.1812242
6405,4,,4.0609227,117.666952
7104,1,,4.092,126.768
1115,4,,4.1248406,96.4929797
1116,1,,4.2328871,98.0028892
1174,2,,4.48,97.9633333
1114,11,,4.7873684,95.6457951
1108,4,,4.9786331,97.2221421
1107,2,,5.0742659,95.940971
1118,3,,5.1548063,96.195132
1111,3,,5.18254,96.89005
1173,4,,5.1880556,97.1402778
1103,3,,5.255443,95.9885456
1106,1,,5.4529168,95.4777811
1171,2,,5.55,95.3166667
1172,1,,5.8946929,95.3192982
